#serial real imag abs
0.003350 8.320040 -4.103345 9.276880
0.003375 -18.251671 8.555633 20.157438
0.003400 -9.997791 -24.479282 26.442222
0.003425 7.080664 11.364066 13.389466
0.003450 11.669656 18.428936 21.812990
0.003475 9.772068 26.840715 28.564267
0.003500 20.710091 28.004841 34.830719
0.003525 -6.027258 0.716918 6.069746
0.003550 -16.805025 39.024517 42.489078
0.003575 10.688549 3.291465 11.183865
0.003600 8.296571 -1.514415 8.433655
0.003625 12.330382 19.688557 23.230962
0.003650 1.119435 -5.762659 5.870381
0.003675 -12.389704 22.933441 26.066214
0.003700 2.412283 -2.590671 3.539871
0.003725 -27.282246 7.160894 28.206370
0.003750 2.071500 -10.262953 10.469924
0.003775 27.166698 20.745464 34.181922
0.003800 19.722204 -1.909735 19.814450
0.003825 -1.052330 26.401417 26.422381
0.003850 1.751418 0.500326 1.821481
0.003875 32.721729 22.703398 39.826571
0.003900 -8.090055 -5.461884 9.761207
0.003925 37.990742 5.613731 38.403262
0.003950 14.302478 -9.160155 16.984384
0.003975 3.305091 -10.140917 10.665919
0.004000 14.931397 -12.341589 19.371666
0.004025 19.455763 -2.689349 19.640756
0.004050 7.271612 -4.028022 8.312719
0.004075 30.967480 7.116700 31.774710
0.004100 9.694427 -21.362898 23.459654
0.004125 0.766420 0.973307 1.238841
0.004150 -3.675265 14.868872 15.316361
0.004175 27.202820 13.762204 30.485926
0.004200 -13.031905 10.164319 16.527066
0.004225 40.286682 6.674390 40.835820
0.004250 -12.394377 -19.080860 22.753018
0.004275 1.899423 -1.045318 2.168063
0.004300 -3.864098 8.845881 9.653023
0.004325 -4.158822 10.157300 10.975725
0.004350 28.681837 21.438906 35.808859
0.004375 22.034912 -38.060432 43.978789
0.004400 9.614975 18.749891 21.071454
0.004425 -0.325226 2.685446 2.705068
0.004450 -11.529993 26.835354 29.207481
0.004475 7.077679 0.632612 7.105894
0.004500 23.927299 1.865756 23.999931
0.004525 6.583999 56.316444 56.700010
0.004550 21.526224 -0.683389 21.537069
0.004575 -8.731169 -10.093427 13.345807
0.004600 8.078423 31.693666 32.707024
0.004625 21.967602 2.050197 22.063065
0.004650 17.441442 19.153507 25.904841
0.004675 56.940220 16.532211 59.291675
0.004700 38.924980 -0.883198 38.934998
0.004725 13.485375 1.352118 13.552991
0.004750 6.161105 5.093336 7.993828
0.004775 -7.408156 6.511335 9.862975
0.004800 -8.096516 20.983910 22.491732
0.004825 11.133953 15.414847 19.015321
0.004850 -20.274912 -11.675157 23.396182
0.004875 5.963300 -6.385667 8.737144
0.004900 -13.154683 -6.324274 14.595963
0.004925 -14.580312 -17.466160 22.751972
0.004950 -1.118277 -28.445633 28.467606
0.004975 28.765028 2.328261 28.859099
0.005000 23.174532 13.245394 26.692684
0.005025 -9.149722 -0.627858 9.171239
0.005050 3.743894 -3.364700 5.033681
0.005075 -5.966695 -19.805506 20.684765
0.005100 2.423142 -10.525328 10.800655
