#serial real imag abs
0.059054 3.743926 0.494609 3.776456
0.059310 -2.171586 1.992633 2.947265
0.059565 -3.287017 -1.320433 3.542319
0.059821 -1.007686 1.306493 1.649956
0.060076 -1.537856 1.689778 2.284809
0.060332 3.778173 0.462308 3.806353
0.060587 -1.520327 -0.919023 1.776513
0.060843 0.033965 -1.837230 1.837544
0.061099 1.268811 -0.996265 1.613203
0.061354 -3.713709 -2.047544 4.240763
0.061610 -0.337616 -0.182538 0.383803
0.061865 1.306852 -0.296654 1.340099
0.062121 -5.553343 5.311031 7.684183
0.062377 1.268832 1.877787 2.266278
0.062634 3.242133 -1.913205 3.764542
0.062893 -2.703790 -0.624641 2.775006
0.063153 0.801458 -3.377760 3.471541
0.063412 -2.241763 -3.264568 3.960165
0.063672 2.126274 0.470363 2.177678
0.063931 -5.412112 -1.330666 5.573296
0.064190 -0.477620 -2.254997 2.305023
0.064450 -0.963633 -1.613384 1.879254
0.064709 -4.050092 2.076874 4.551554
0.064969 4.442429 1.633033 4.733072
0.065228 0.858657 -2.118195 2.285616
0.065487 -0.510078 -0.202993 0.548986
0.065747 -2.075562 2.765747 3.457935
0.066006 -1.132759 -0.989951 1.504375
0.066266 -2.344542 2.839277 3.682169
0.066525 -1.271575 -3.718117 3.929542
0.066784 -2.076840 0.633206 2.171224
0.067044 0.366009 -0.692755 0.783500
0.067303 4.679295 -1.643666 4.959580
0.067563 0.897507 2.353947 2.519243
0.067822 7.683024 2.402236 8.049820
0.068081 -4.659006 -3.479983 5.815205
0.068341 -2.655335 -0.418397 2.688096
0.068600 3.264357 0.566114 3.313082
0.068860 -0.004540 -2.159471 2.159475
0.069119 1.962968 -2.210233 2.956075
0.069378 4.571500 0.929990 4.665136
0.069638 0.539350 0.005871 0.539382
0.069897 -3.128795 0.579681 3.182041
0.070157 0.383178 2.368564 2.399358
0.070416 -1.415714 -0.759221 1.606444
0.070675 -1.675358 -2.628456 3.116986
0.070935 0.253649 -2.775808 2.787373
0.071194 -0.562114 1.229801 1.352177
0.071454 -1.630594 -0.115899 1.634707
0.071713 -0.296885 -1.841062 1.864846
0.071972 -0.452285 -1.747404 1.804988
0.072232 3.277933 1.696154 3.690771
0.072491 -3.514327 0.950723 3.640655
0.072751 -3.995203 -0.573531 4.036159
0.073010 0.074809 -4.402290 4.402925
0.073269 1.142966 -2.620856 2.859241
0.073529 0.427559 -4.222765 4.244356
0.073788 5.032463 0.528916 5.060182
0.074048 -3.092050 -3.050076 4.343240
0.074307 -1.139331 1.216728 1.666884
0.074566 1.007645 -1.809245 2.070921
0.074826 1.273511 -0.996381 1.616974
0.075085 2.041532 -4.644769 5.073631
0.075345 0.523102 -1.288688 1.390810
0.075604 -4.475571 0.329426 4.487679
0.075863 1.077084 -0.559284 1.213634
0.076123 -3.183013 0.676304 3.254068
0.076382 -0.251282 3.108412 3.118552
0.076642 0.657398 2.632256 2.713106
0.076901 -1.114572 -1.361614 1.759620
0.077160 -4.471965 -0.688177 4.524606
0.077420 2.062309 -2.157801 2.984832
0.077679 0.881860 -4.889119 4.968013
0.077939 1.750841 1.386958 2.233629
0.078198 -0.387378 -2.556780 2.585959
0.078457 -0.682123 2.117171 2.224343
0.078717 1.618361 -2.013713 2.583434
0.078976 -1.975521 -1.878770 2.726254
0.079236 0.172122 -0.028963 0.174541
0.079495 -2.374659 -0.548364 2.437152
0.079754 -2.165882 4.792098 5.258826
0.080014 1.887470 1.400293 2.350183
0.080273 -0.728501 -0.718936 1.023515
0.080533 1.561158 -0.155431 1.568877
0.080792 3.332325 -1.086429 3.504956
0.081051 2.284966 3.889493 4.511012
0.081311 2.473692 2.251649 3.345007
0.081570 -2.995610 -3.825432 4.858766
0.081830 2.119357 -0.438469 2.164239
0.082089 0.266353 -4.157845 4.166368
0.082348 1.450852 -1.581923 2.146497
